deposit_the_first,age,gender,label
36938,76,Both,Achara-NDB
4060,82,Both,Achara-NDB
32427,59,Both,Achara-NDB
56360,70,Both,Achara-NDB
15210,97,Both,Achara-NDB
2942,62,Both,Achara-NDB
90073,83,Both,Achara-NDB
79011,83,Both,Achara-NDB
39284,69,Both,Achara-NDB
70766,89,Both,Achara-NDB
17523,94,Both,Achara-NDB
98348,56,Both,Achara-NDB
4673,58,Both,Achara-NDB
39082,56,Both,Achara-NDB
15025,60,Both,Achara-NDB
95403,70,Both,Achara-NDB
10456,80,Both,Achara-NDB
96856,95,Both,Achara-NDB
32446,99,Both,Achara-NDB
20773,61,Both,Achara-NDB
8616,60,Both,Achara-NDB
2680,62,Both,Achara-NDB
72961,95,Both,Achara-NDB
54184,81,Both,Achara-NDB
36881,58,Both,Achara-NDB
9697,86,Both,Achara-NDB
44191,71,Both,Achara-NDB
21856,76,Both,Achara-NDB
57703,84,Both,Achara-NDB
52172,64,Both,Achara-NDB
25251,61,Both,Achara-NDB
43428,59,Both,Achara-NDB
55562,62,Both,Achara-NDB
78471,64,Both,Achara-NDB
84701,59,Both,Achara-NDB
29642,55,Both,Achara-NDB
53115,99,Both,Achara-NDB
55146,60,Both,Achara-NDB
41691,71,Both,Achara-NDB
19345,81,Both,Achara-NDB
73682,93,Both,Achara-NDB
39057,60,Both,Achara-NDB
50530,76,Both,Achara-NDB
39615,76,Both,Achara-NDB
79632,69,Both,Achara-NDB
78164,65,Both,Achara-NDB
31533,62,Both,Achara-NDB
4189,69,Both,Achara-NDB
42428,64,Both,Achara-NDB
1266,68,Both,Achara-NDB
16963,82,Both,Achara-NDB
4746,77,Both,Achara-NDB
11360,55,Both,Achara-NDB
8843,78,Both,Achara-NDB
67981,71,Both,Achara-NDB
6531,61,Both,Achara-NDB
51952,59,Both,Achara-NDB
34124,76,Both,Achara-NDB
50081,99,Both,Achara-NDB
35887,94,Both,Achara-NDB
79667,79,Both,Achara-NDB
49420,92,Both,Achara-NDB
96854,98,Both,Achara-NDB
84607,75,Both,Achara-NDB
85707,100,Both,Achara-NDB
30285,80,Both,Achara-NDB
75840,76,Both,Achara-NDB
15240,75,Both,Achara-NDB
32543,72,Both,Achara-NDB
26384,56,Both,Achara-NDB
22505,58,Both,Achara-NDB
24058,70,Both,Achara-NDB
52155,83,Both,Achara-NDB
79380,95,Both,Achara-NDB
7263,58,Both,Achara-NDB
51673,99,Both,Achara-NDB
48122,69,Both,Achara-NDB
91422,100,Both,Achara-NDB
41892,93,Both,Achara-NDB
47661,80,Both,Achara-NDB
88893,61,Both,Achara-NDB
24770,69,Both,Achara-NDB
95817,59,Both,Achara-NDB
24763,88,Both,Achara-NDB
24162,83,Both,Achara-NDB
48910,74,Both,Achara-NDB
67695,79,Both,Achara-NDB
24741,70,Both,Achara-NDB
72261,80,Both,Achara-NDB
43476,72,Both,Achara-NDB
48396,58,Both,Achara-NDB
21841,87,Both,Achara-NDB
53767,94,Both,Achara-NDB
27175,93,Both,Achara-NDB
77119,84,Both,Achara-NDB
27060,83,Both,Achara-NDB
51365,84,Both,Achara-NDB
16086,85,Both,Achara-NDB
70914,81,Both,Achara-NDB
426,74,Both,Achara-NDB
56921,74,Both,Achara-NDB
99974,76,Both,Achara-NDB
1534,75,Both,Achara-NDB
47187,63,Both,Achara-NDB
4756,94,Both,Achara-NDB
43116,60,Both,Achara-NDB
4761,96,Both,Achara-NDB
34870,92,Both,Achara-NDB
50346,55,Both,Achara-NDB
88907,79,Both,Achara-NDB
8928,76,Both,Achara-NDB
87524,87,Both,Achara-NDB
30612,98,Both,Achara-NDB
81809,56,Both,Achara-NDB
45691,68,Both,Achara-NDB
66171,60,Both,Achara-NDB
2651,100,Both,Achara-NDB
32598,72,Both,Achara-NDB
7260,75,Both,Achara-NDB
91585,76,Both,Achara-NDB
9031,69,Both,Achara-NDB
9468,98,Both,Achara-NDB
37771,100,Both,Achara-NDB
37590,66,Both,Achara-NDB
97873,71,Both,Achara-NDB
40491,86,Both,Achara-NDB
85782,97,Both,Achara-NDB
34901,94,Both,Achara-NDB
99720,66,Both,Achara-NDB
37601,90,Both,Achara-NDB
81936,82,Both,Achara-NDB
90589,78,Both,Achara-NDB
92261,86,Both,Achara-NDB
75637,64,Both,Achara-NDB
30269,65,Both,Achara-NDB
89687,94,Both,Achara-NDB
35153,90,Both,Achara-NDB
90392,67,Both,Achara-NDB
32465,95,Both,Achara-NDB
71201,56,Both,Achara-NDB
11798,59,Both,Achara-NDB
59314,93,Both,Achara-NDB
99814,84,Both,Achara-NDB
20329,84,Both,Achara-NDB
62616,100,Both,Achara-NDB
30942,81,Both,Achara-NDB
50996,70,Both,Achara-NDB
69775,72,Both,Achara-NDB
67791,92,Both,Achara-NDB
58878,99,Both,Achara-NDB
92997,90,Both,Achara-NDB
61498,58,Both,Achara-NDB
69745,59,Both,Achara-NDB
53269,67,Both,Achara-NDB
97717,83,Both,Achara-NDB
43648,62,Both,Achara-NDB
66631,58,Both,Achara-NDB
2971,79,Both,Achara-NDB
8541,56,Both,Achara-NDB
8431,93,Both,Achara-NDB
97241,66,Both,Achara-NDB
45091,68,Both,Achara-NDB
72491,97,Both,Achara-NDB
82593,61,Both,Achara-NDB
10824,89,Both,Achara-NDB
83819,88,Both,Achara-NDB
98984,65,Both,Achara-NDB
11100,77,Both,Achara-NDB
29994,89,Both,Achara-NDB
71870,85,Both,Achara-NDB
95546,93,Both,Achara-NDB
63140,73,Both,Achara-NDB
23742,66,Both,Achara-NDB
6652,82,Both,Achara-NDB
31258,86,Both,Achara-NDB
9011,99,Both,Achara-NDB
63471,100,Both,Achara-NDB
64189,65,Both,Achara-NDB
11107,72,Both,Achara-NDB
74109,63,Both,Achara-NDB
76043,63,Both,Achara-NDB
19788,67,Both,Achara-NDB
18641,92,Both,Achara-NDB
96454,87,Both,Achara-NDB
89694,92,Both,Achara-NDB
75397,85,Both,Achara-NDB
67385,77,Both,Achara-NDB
2169,64,Both,Achara-NDB
51508,93,Both,Achara-NDB
59199,56,Both,Achara-NDB
63881,61,Both,Achara-NDB
62199,87,Both,Achara-NDB
57537,96,Both,Achara-NDB
77616,82,Both,Achara-NDB
78835,63,Both,Achara-NDB
92524,63,Both,Achara-NDB
38125,93,Both,Achara-NDB
41192,88,Both,Achara-NDB
49549,60,Both,Achara-NDB
67801,88,Both,Achara-NDB
99960,89,Both,Achara-NDB
19018,87,Both,Achara-NDB
46314,59,Both,Achara-NDB
19632,74,Both,Achara-NDB
38987,76,Both,Achara-NDB
88222,61,Both,Achara-NDB
23648,96,Both,Achara-NDB
90812,93,Both,Achara-NDB
60631,96,Both,Achara-NDB
53677,90,Both,Achara-NDB
78465,86,Both,Achara-NDB
17482,93,Both,Achara-NDB
72677,75,Both,Achara-NDB
13722,82,Both,Achara-NDB
14324,82,Both,Achara-NDB
18898,57,Both,Achara-NDB
12886,100,Both,Achara-NDB
94369,78,Both,Achara-NDB
2825,66,Both,Achara-NDB
30863,99,Both,Achara-NDB
95813,80,Both,Achara-NDB
2099,79,Both,Achara-NDB
28346,60,Both,Achara-NDB
45986,67,Both,Achara-NDB
9395,89,Both,Achara-NDB
6062,97,Both,Achara-NDB
55122,63,Both,Achara-NDB
76480,89,Both,Achara-NDB
57556,72,Both,Achara-NDB
27181,96,Both,Achara-NDB
14337,92,Both,Achara-NDB
53725,77,Both,Achara-NDB
33303,75,Both,Achara-NDB
77015,62,Both,Achara-NDB
51736,66,Both,Achara-NDB
73692,86,Both,Achara-NDB
87496,96,Both,Achara-NDB
46044,73,Both,Achara-NDB
58211,81,Both,Achara-NDB
370,55,Both,Achara-NDB
20455,83,Both,Achara-NDB
25512,60,Both,Achara-NDB
53402,88,Both,Achara-NDB
72883,56,Both,Achara-NDB
55834,69,Both,Achara-NDB
90129,60,Both,Achara-NDB
50740,65,Both,Achara-NDB
89326,74,Both,Achara-NDB
46404,83,Both,Achara-NDB
27312,99,Both,Achara-NDB
2708,62,Both,Achara-NDB
48504,69,Both,Sanhida-Sampath Bank
64506,83,Both,Sanhida-Sampath Bank
63443,97,Both,Sanhida-Sampath Bank
83150,83,Both,Sanhida-Sampath Bank
12278,95,Both,Sanhida-Sampath Bank
38199,63,Both,Sanhida-Sampath Bank
9887,60,Both,Sanhida-Sampath Bank
59337,85,Both,Sanhida-Sampath Bank
34959,88,Both,Sanhida-Sampath Bank
98574,63,Both,Sanhida-Sampath Bank
60537,60,Both,Sanhida-Sampath Bank
36877,92,Both,Sanhida-Sampath Bank
73682,88,Both,Sanhida-Sampath Bank
92742,72,Both,Sanhida-Sampath Bank
58878,65,Both,Sanhida-Sampath Bank
46324,92,Both,Sanhida-Sampath Bank
56436,88,Both,Sanhida-Sampath Bank
5410,74,Both,Sanhida-Sampath Bank
11357,69,Both,Sanhida-Sampath Bank
90658,97,Both,Sanhida-Sampath Bank
29072,56,Both,Sanhida-Sampath Bank
30193,89,Both,Sanhida-Sampath Bank
76277,64,Both,Sanhida-Sampath Bank
90588,58,Both,Sanhida-Sampath Bank
20960,78,Both,Sanhida-Sampath Bank
44889,58,Both,Sanhida-Sampath Bank
46287,95,Both,Sanhida-Sampath Bank
61464,83,Both,Sanhida-Sampath Bank
48307,57,Both,Sanhida-Sampath Bank
99971,95,Both,Sanhida-Sampath Bank
34201,67,Both,Sanhida-Sampath Bank
77062,77,Both,Sanhida-Sampath Bank
52744,90,Both,Sanhida-Sampath Bank
61807,100,Both,Sanhida-Sampath Bank
73694,67,Both,Sanhida-Sampath Bank
11840,79,Both,Sanhida-Sampath Bank
13068,68,Both,Sanhida-Sampath Bank
48055,79,Both,Sanhida-Sampath Bank
32929,99,Both,Sanhida-Sampath Bank
55566,100,Both,Sanhida-Sampath Bank
69999,76,Both,Sanhida-Sampath Bank
33762,81,Both,Sanhida-Sampath Bank
84629,73,Both,Sanhida-Sampath Bank
84950,62,Both,Sanhida-Sampath Bank
43337,85,Both,Sanhida-Sampath Bank
55795,93,Both,Sanhida-Sampath Bank
81598,56,Both,Sanhida-Sampath Bank
25975,78,Both,Sanhida-Sampath Bank
79620,76,Both,Sanhida-Sampath Bank
98101,91,Both,Sanhida-Sampath Bank
36610,92,Both,Sanhida-Sampath Bank
13967,56,Both,Sanhida-Sampath Bank
26185,97,Both,Sanhida-Sampath Bank
73613,72,Both,Sanhida-Sampath Bank
11413,86,Both,Sanhida-Sampath Bank
85358,75,Both,Sanhida-Sampath Bank
87814,74,Both,Sanhida-Sampath Bank
44413,57,Both,Sanhida-Sampath Bank
90519,94,Both,Sanhida-Sampath Bank
60242,72,Both,Sanhida-Sampath Bank
84823,92,Both,Sanhida-Sampath Bank
52963,93,Both,Sanhida-Sampath Bank
90420,63,Both,Sanhida-Sampath Bank
40900,93,Both,Sanhida-Sampath Bank
6009,59,Both,Sanhida-Sampath Bank
36452,59,Both,Sanhida-Sampath Bank
78569,78,Both,Sanhida-Sampath Bank
48730,91,Both,Sanhida-Sampath Bank
18742,84,Both,Sanhida-Sampath Bank
59099,76,Both,Sanhida-Sampath Bank
75011,74,Both,Sanhida-Sampath Bank
62172,73,Both,Sanhida-Sampath Bank
57297,97,Both,Sanhida-Sampath Bank
10051,93,Both,Sanhida-Sampath Bank
22477,96,Both,Sanhida-Sampath Bank
28257,98,Both,Sanhida-Sampath Bank
21728,85,Both,Sanhida-Sampath Bank
95792,69,Both,Sanhida-Sampath Bank
13705,86,Both,Sanhida-Sampath Bank
72922,70,Both,Sanhida-Sampath Bank
70853,95,Both,Sanhida-Sampath Bank
76072,99,Both,Sanhida-Sampath Bank
3440,94,Both,Sanhida-Sampath Bank
50782,64,Both,Sanhida-Sampath Bank
92596,63,Both,Sanhida-Sampath Bank
28530,69,Both,Sanhida-Sampath Bank
39088,75,Both,Sanhida-Sampath Bank
4813,91,Both,Sanhida-Sampath Bank
51990,56,Both,Sanhida-Sampath Bank
36902,59,Both,Sanhida-Sampath Bank
6413,82,Both,Sanhida-Sampath Bank
47472,60,Both,Sanhida-Sampath Bank
96300,90,Both,Sanhida-Sampath Bank
50845,83,Both,Sanhida-Sampath Bank
31937,73,Both,Sanhida-Sampath Bank
23784,60,Both,Sanhida-Sampath Bank
68325,63,Both,Sanhida-Sampath Bank
6674,63,Both,Sanhida-Sampath Bank
75619,95,Both,Sanhida-Sampath Bank
34529,69,Both,Sanhida-Sampath Bank
37604,87,Both,Sanhida-Sampath Bank
62416,64,Both,Sanhida-Sampath Bank
4110,62,Both,Sanhida-Sampath Bank
92207,96,Both,Sanhida-Sampath Bank
65514,73,Both,Sanhida-Sampath Bank
66804,85,Both,Sanhida-Sampath Bank
81186,57,Both,Sanhida-Sampath Bank
33961,67,Both,Sanhida-Sampath Bank
92312,83,Both,Sanhida-Sampath Bank
21496,93,Both,Sanhida-Sampath Bank
53859,64,Both,Sanhida-Sampath Bank
44893,70,Both,Sanhida-Sampath Bank
65220,94,Both,Sanhida-Sampath Bank
8564,73,Both,Sanhida-Sampath Bank
28351,98,Both,Sanhida-Sampath Bank
5961,63,Both,Sanhida-Sampath Bank
48265,56,Both,Sanhida-Sampath Bank
82392,66,Both,Sanhida-Sampath Bank
29796,66,Both,Sanhida-Sampath Bank
70798,99,Both,Sanhida-Sampath Bank
49466,70,Both,Sanhida-Sampath Bank
91947,70,Both,Sanhida-Sampath Bank
92212,67,Both,Sanhida-Sampath Bank
19838,73,Both,Sanhida-Sampath Bank
68705,92,Both,Sanhida-Sampath Bank
14724,55,Both,Sanhida-Sampath Bank
54627,80,Both,Sanhida-Sampath Bank
8001,65,Both,Sanhida-Sampath Bank
72323,62,Both,Sanhida-Sampath Bank
13089,83,Both,Sanhida-Sampath Bank
43886,99,Both,Sanhida-Sampath Bank
58104,97,Both,Sanhida-Sampath Bank
36546,71,Both,Sanhida-Sampath Bank
42172,63,Both,Sanhida-Sampath Bank
14071,55,Both,Sanhida-Sampath Bank
4003,91,Both,Sanhida-Sampath Bank
14648,71,Both,Sanhida-Sampath Bank
22486,78,Both,Sanhida-Sampath Bank
68843,55,Both,Sanhida-Sampath Bank
75726,93,Both,Sanhida-Sampath Bank
94194,93,Both,Sanhida-Sampath Bank
62777,88,Both,Sanhida-Sampath Bank
63386,97,Both,Sanhida-Sampath Bank
44660,74,Both,Sanhida-Sampath Bank
16563,100,Both,Sanhida-Sampath Bank
40759,90,Both,Sanhida-Sampath Bank
50758,99,Both,Sanhida-Sampath Bank
15110,86,Both,Sanhida-Sampath Bank
63174,84,Both,Sanhida-Sampath Bank
27640,83,Both,Sanhida-Sampath Bank
30878,77,Both,Sanhida-Sampath Bank
15917,62,Both,Sanhida-Sampath Bank
54501,58,Both,Sanhida-Sampath Bank
44744,92,Both,Sanhida-Sampath Bank
35278,86,Both,Sanhida-Sampath Bank
32194,56,Both,Sanhida-Sampath Bank
8222,100,Both,Sanhida-Sampath Bank
46468,87,Both,Sanhida-Sampath Bank
92400,98,Both,Sanhida-Sampath Bank
59339,100,Both,Sanhida-Sampath Bank
97966,57,Both,Sanhida-Sampath Bank
27779,94,Both,Sanhida-Sampath Bank
87775,85,Both,Sanhida-Sampath Bank
16224,65,Both,Sanhida-Sampath Bank
23743,78,Both,Sanhida-Sampath Bank
36159,75,Both,Sanhida-Sampath Bank
15694,61,Both,Sanhida-Sampath Bank
71671,84,Both,Sanhida-Sampath Bank
59287,100,Both,Sanhida-Sampath Bank
12180,77,Both,Sanhida-Sampath Bank
40037,70,Both,Sanhida-Sampath Bank
18134,83,Both,Sanhida-Sampath Bank
4081,90,Both,Sanhida-Sampath Bank
51751,94,Both,Sanhida-Sampath Bank
65552,93,Both,Sanhida-Sampath Bank
92314,82,Both,Sanhida-Sampath Bank
72853,78,Both,Sanhida-Sampath Bank
2997,97,Both,Sanhida-Sampath Bank
71691,62,Both,Sanhida-Sampath Bank
38457,100,Both,Sanhida-Sampath Bank
38008,100,Both,Sanhida-Sampath Bank
54670,72,Both,Sanhida-Sampath Bank
16667,77,Both,Sanhida-Sampath Bank
57931,67,Both,Sanhida-Sampath Bank
57845,74,Both,Sanhida-Sampath Bank
1352,82,Both,Sanhida-Sampath Bank
11448,78,Both,Sanhida-Sampath Bank
98753,92,Both,Sanhida-Sampath Bank
56072,68,Both,Sanhida-Sampath Bank
56113,98,Both,Sanhida-Sampath Bank
79381,93,Both,Sanhida-Sampath Bank
6164,99,Both,Sanhida-Sampath Bank
11460,72,Both,Sanhida-Sampath Bank
62169,83,Both,Sanhida-Sampath Bank
8813,91,Both,Sanhida-Sampath Bank
13803,66,Both,Sanhida-Sampath Bank
70784,57,Both,Sanhida-Sampath Bank
69608,85,Both,Sanhida-Sampath Bank
14389,55,Both,Sanhida-Sampath Bank
72859,63,Both,Sanhida-Sampath Bank
10235,84,Both,Sanhida-Sampath Bank
86794,71,Both,Sanhida-Sampath Bank
8214,60,Both,Sanhida-Sampath Bank
44156,72,Both,Sanhida-Sampath Bank
19243,72,Both,Sanhida-Sampath Bank
35111,75,Both,Sanhida-Sampath Bank
95248,71,Both,Sanhida-Sampath Bank
41773,79,Both,Sanhida-Sampath Bank
83557,61,Both,Sanhida-Sampath Bank
95964,91,Both,Sanhida-Sampath Bank
48551,79,Both,Sanhida-Sampath Bank
72219,91,Both,Sanhida-Sampath Bank
32630,67,Both,Sanhida-Sampath Bank
12929,58,Both,Sanhida-Sampath Bank
89949,79,Both,Sanhida-Sampath Bank
27434,96,Both,Sanhida-Sampath Bank
39864,58,Both,Sanhida-Sampath Bank
93367,63,Both,Sanhida-Sampath Bank
13856,73,Both,Sanhida-Sampath Bank
25017,55,Both,Sanhida-Sampath Bank
68146,56,Both,Sanhida-Sampath Bank
51181,72,Both,Sanhida-Sampath Bank
17894,60,Both,Sanhida-Sampath Bank
26817,64,Both,Sanhida-Sampath Bank
4063,82,Both,Sanhida-Sampath Bank
73481,77,Both,Sanhida-Sampath Bank
47886,60,Both,Sanhida-Sampath Bank
82049,61,Both,Sanhida-Sampath Bank
88507,85,Both,Sanhida-Sampath Bank
42290,62,Both,Sanhida-Sampath Bank
5322,97,Both,Sanhida-Sampath Bank
18862,68,Both,Sanhida-Sampath Bank
70417,74,Both,Sanhida-Sampath Bank
19200,97,Both,Sanhida-Sampath Bank
48981,61,Both,Sanhida-Sampath Bank
43898,97,Both,Sanhida-Sampath Bank
72961,93,Both,Sanhida-Sampath Bank
56991,100,Both,Sanhida-Sampath Bank
90899,77,Both,Sanhida-Sampath Bank
12491,55,Both,Sanhida-Sampath Bank
44901,68,Both,Sanhida-Sampath Bank
62410,97,Both,Sanhida-Sampath Bank
88537,56,Both,Sanhida-Sampath Bank
13757,55,Both,Sanhida-Sampath Bank
55509,59,Both,Sanhida-Sampath Bank
30023,61,Both,Sanhida-Sampath Bank
49672,86,Both,Sanhida-Sampath Bank
47712,78,Both,Sanhida-Sampath Bank
7140,71,Both,Sanhida-Sampath Bank
75402,81,Both,Sanhida-Sampath Bank
2827,91,Both,Sanhida-Sampath Bank
8674,86,Both,Sanhida-Sampath Bank
1022,67,Both,Sanhida-Sampath Bank
49827,56,Both,Sanhida-Sampath Bank
56628,95,Both,Sanhida-Sampath Bank
55539,63,Both,Sanhida-Sampath Bank
35613,62,Both,Sanhida-Sampath Bank
4026,85,Both,Sanhida-Sampath Bank
88302,85,Both,Sanhida-Sampath Bank
87113,72,Both,Sanhida-Sampath Bank
81937,86,Both,Sanhida-Sampath Bank
33463,74,Both,Sanhida-Sampath Bank
58628,74,Both,Sanhida-Sampath Bank
65108,93,Both,Sanhida-Sampath Bank
76955,70,Both,Sanhida-Sampath Bank
54682,61,Both,Sanhida-Sampath Bank
4951,68,Both,Sanhida-Sampath Bank
61474,88,Both,Sanhida-Sampath Bank
86861,95,Both,Sanhida-Sampath Bank
83409,71,Both,Sanhida-Sampath Bank
9134,65,Both,Sanhida-Sampath Bank
76487,85,Both,Sanhida-Sampath Bank
5831,87,Both,Sanhida-Sampath Bank
39317,69,Both,Sanhida-Sampath Bank
74206,80,Both,Sanhida-Sampath Bank
48392,64,Both,Sanhida-Sampath Bank
24037,84,Both,Sanhida-Sampath Bank
28796,82,Both,Sanhida-Sampath Bank
73519,70,Both,Sanhida-Sampath Bank
1607,78,Both,Sanhida-Sampath Bank
17354,88,Both,Sanhida-Sampath Bank
20808,97,Both,Sanhida-Sampath Bank
90925,72,Both,Sanhida-Sampath Bank
47209,92,Both,Sanhida-Sampath Bank
50584,71,Both,Sanhida-Sampath Bank
56631,90,Both,Sanhida-Sampath Bank
78780,70,Both,Sanhida-Sampath Bank
76691,97,Both,Sanhida-Sampath Bank
16649,77,Both,Sanhida-Sampath Bank
13663,61,Both,Sanhida-Sampath Bank
56068,73,Both,Sanhida-Sampath Bank
96828,67,Both,Sanhida-Sampath Bank
38796,85,Both,Sanhida-Sampath Bank
82196,69,Both,Sanhida-Sampath Bank
57802,76,Both,Sanhida-Sampath Bank
19661,89,Both,Sanhida-Sampath Bank
32850,93,Both,Sanhida-Sampath Bank
81036,85,Both,Sanhida-Sampath Bank
2773,66,Both,Sanhida-Sampath Bank
91559,58,Both,Sanhida-Sampath Bank
44458,90,Both,Sanhida-Sampath Bank
87293,73,Both,Sanhida-Sampath Bank
7478,87,Both,Sanhida-Sampath Bank
54287,97,Both,Sanhida-Sampath Bank
84060,62,Both,Sanhida-Sampath Bank
99351,60,Both,Sanhida-Sampath Bank
28919,73,Both,Sanhida-Sampath Bank
75853,87,Both,Sanhida-Sampath Bank
70134,86,Both,Sanhida-Sampath Bank
57578,71,Both,Sanhida-Sampath Bank
57468,69,Both,Sanhida-Sampath Bank
85257,87,Both,Sanhida-Sampath Bank
28043,96,Both,Sanhida-Sampath Bank
12672,62,Both,Sanhida-Sampath Bank
88369,71,Both,Sanhida-Sampath Bank
88163,91,Both,Sanhida-Sampath Bank
93255,67,Both,Sanhida-Sampath Bank
68856,78,Both,Sanhida-Sampath Bank
37278,96,Both,Sanhida-Sampath Bank
93439,79,Both,Sanhida-Sampath Bank
16850,75,Both,Sanhida-Sampath Bank
10518,75,Both,Sanhida-Sampath Bank
68562,58,Both,Sanhida-Sampath Bank
13124,56,Both,Sanhida-Sampath Bank
15004,78,Both,Sanhida-Sampath Bank
53150,94,Both,Sanhida-Sampath Bank
26706,80,Both,Sanhida-Sampath Bank
65168,70,Both,Sanhida-Sampath Bank
96349,97,Both,Sanhida-Sampath Bank
59307,100,Both,Sanhida-Sampath Bank
62701,81,Both,Sanhida-Sampath Bank
43195,93,Both,Sanhida-Sampath Bank
91299,63,Both,Sanhida-Sampath Bank
3283,72,Both,Sanhida-Sampath Bank
31625,68,Both,Sanhida-Sampath Bank
7959,86,Both,Sanhida-Sampath Bank
81237,95,Both,Sanhida-Sampath Bank
70661,61,Both,Sanhida-Sampath Bank
24960,96,Both,Sanhida-Sampath Bank
29534,98,Both,Sanhida-Sampath Bank
29707,55,Both,Sanhida-Sampath Bank
58194,91,Both,Sanhida-Sampath Bank
40776,71,Both,Sanhida-Sampath Bank
94458,91,Both,Sanhida-Sampath Bank
33658,94,Both,Sanhida-Sampath Bank
35268,91,Both,Sanhida-Sampath Bank
60537,80,Both,Sanhida-Sampath Bank
83508,63,Both,Sanhida-Sampath Bank
54280,60,Both,Sanhida-Sampath Bank
80454,91,Both,Sanhida-Sampath Bank
5423,82,Both,Sanhida-Sampath Bank
66068,81,Both,Sanhida-Sampath Bank
12564,55,Both,Sanhida-Sampath Bank
88420,80,Both,Sanhida-Sampath Bank
34616,92,Both,Sanhida-Sampath Bank
22050,57,Both,Sanhida-Sampath Bank
3689,86,Both,Sanhida-Sampath Bank
18571,66,Both,Sanhida-Sampath Bank
41504,93,Both,Sanhida-Sampath Bank
59476,63,Both,Sanhida-Sampath Bank
4261,90,Both,Sanhida-Sampath Bank
9570,58,Both,Sanhida-Sampath Bank
80697,59,Both,Sanhida-Sampath Bank
78756,68,Both,Sanhida-Sampath Bank
33051,66,Both,Sanhida-Sampath Bank
13073,68,Both,Sanhida-Sampath Bank
7218,78,Both,Sanhida-Sampath Bank
44049,85,Both,Sanhida-Sampath Bank
26645,59,Both,Sanhida-Sampath Bank
1513,81,Both,Sanhida-Sampath Bank
37146,56,Both,Sanhida-Sampath Bank
20783,62,Both,Sanhida-Sampath Bank
88649,60,Both,Sanhida-Sampath Bank
97819,86,Both,Sanhida-Sampath Bank
60787,66,Both,Sanhida-Sampath Bank
84555,55,Both,Sanhida-Sampath Bank
4503,65,Both,Sanhida-Sampath Bank
67658,71,Both,Sanhida-Sampath Bank
6937,80,Both,Sanhida-Sampath Bank
54495,78,Both,Sanhida-Sampath Bank
41708,79,Both,Sanhida-Sampath Bank
47114,77,Both,Sanhida-Sampath Bank
89676,89,Both,Sanhida-Sampath Bank
15581,86,Both,Sanhida-Sampath Bank
64676,100,Both,Sanhida-Sampath Bank
56698,66,Both,Sanhida-Sampath Bank
48178,100,Both,Sanhida-Sampath Bank
29047,100,Both,Sanhida-Sampath Bank
47643,87,Both,Sanhida-Sampath Bank
20862,66,Both,Sanhida-Sampath Bank
11434,67,Both,Sanhida-Sampath Bank
96068,69,Both,Sanhida-Sampath Bank
84010,87,Both,Sanhida-Sampath Bank
85059,72,Both,Sanhida-Sampath Bank
7356,82,Both,Sanhida-Sampath Bank
87228,97,Both,Sanhida-Sampath Bank
37847,77,Both,Sanhida-Sampath Bank
34630,97,Both,Sanhida-Sampath Bank
35171,91,Both,Sanhida-Sampath Bank
42272,69,Both,Sanhida-Sampath Bank
77181,60,Both,Sanhida-Sampath Bank
37197,96,Both,Sanhida-Sampath Bank
86333,59,Both,Sanhida-Sampath Bank
98842,94,Both,Sanhida-Sampath Bank
60943,77,Both,Sanhida-Sampath Bank
21656,59,Both,Sanhida-Sampath Bank
44387,76,Both,Sanhida-Sampath Bank
43369,82,Both,Sanhida-Sampath Bank
89843,56,Both,Sanhida-Sampath Bank
18984,61,Both,Sanhida-Sampath Bank
37421,67,Both,Sanhida-Sampath Bank
12395,94,Both,Sanhida-Sampath Bank
88092,74,Both,Sanhida-Sampath Bank
73068,68,Both,Sanhida-Sampath Bank
25043,94,Both,Sanhida-Sampath Bank
26433,80,Both,Sanhida-Sampath Bank
40359,55,Both,Sanhida-Sampath Bank
13358,72,Both,Sanhida-Sampath Bank
79487,90,Both,Sanhida-Sampath Bank
33783,94,Both,Sanhida-Sampath Bank
29054,76,Both,Sanhida-Sampath Bank
21805,93,Both,Sanhida-Sampath Bank
53057,85,Both,Sanhida-Sampath Bank
24662,61,Both,Sanhida-Sampath Bank
75212,98,Both,Sanhida-Sampath Bank
24838,78,Both,Sanhida-Sampath Bank
2891,68,Both,Sanhida-Sampath Bank
26716,84,Both,Sanhida-Sampath Bank
18354,59,Both,Sanhida-Sampath Bank
66262,60,Both,Sanhida-Sampath Bank
9363,100,Both,Sanhida-Sampath Bank
50861,59,Both,Sanhida-Sampath Bank
36647,56,Both,Sanhida-Sampath Bank
64067,83,Both,Sanhida-Sampath Bank
46594,55,Both,Sanhida-Sampath Bank
8732,57,Both,Sanhida-Sampath Bank
60739,88,Both,Sanhida-Sampath Bank
34359,76,Both,Sanhida-Sampath Bank
64170,78,Both,Sanhida-Sampath Bank
68900,69,Both,Sanhida-Sampath Bank
69747,75,Both,Sanhida-Sampath Bank
30299,83,Both,Sanhida-Sampath Bank
28896,83,Both,Sanhida-Sampath Bank
51337,91,Both,Sanhida-Sampath Bank
31198,90,Both,Sanhida-Sampath Bank
27546,99,Both,Sanhida-Sampath Bank
4779,77,Both,Sanhida-Sampath Bank
73796,80,Both,Sanhida-Sampath Bank
51596,65,Both,Sanhida-Sampath Bank
17886,96,Both,Sanhida-Sampath Bank
30263,58,Both,Sanhida-Sampath Bank
36306,57,Both,Sanhida-Sampath Bank
74252,65,Both,Sanhida-Sampath Bank
